"name","type","latitude","longitude"
"Ankara Atatürk Göğüs Hastalıkları ve Göğüs Cerrahisi Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","40.000721","32.855579"
"Ankara Dr. Zekai Tahir Burak Kadın Sağlığı Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.932556","32.868688"
"Ankara Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.932104","32.857642"
"Ankara Fizik Tedavi ve Rehabilitasyon Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.90064","32.757018"
"Ankara Gaziler Fizik Tedavi ve Rehabilitasyon Eğitim Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.892222","32.754589"
"Ankara Şehir Hastanesi","Eğitim ve araştırma hastanesi","39.929885","32.857141"
"Ankara Ulucanlar Göz Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.937412","32.870161"
"Dışkapı Yıldırım Beyazıt Eğitim Ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.953422","32.858664"
"Dr. Abdurrahman Yurtaslan Ankara Onkoloji Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.968467","32.778203"
"Dr. Sami Ulus Kadın Doğum Çocuk Sağlığı ve Hastalıkları Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.95236","32.875521"
"Etlik Zübeyde Hanım Kadın Hastalıkları Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.963851","32.840012"
"Gülhane Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.966159","32.843922"
"Sağlık Bilimleri Üniversitesi Ankara Keçiören Eğitim Araştırma Hastanesi","Eğitim ve araştırma hastanesi","40.002506","32.857152"
"Yenimahalle Yıldırım Beyazıt Eğitim ve Araştırma Hastanesi","Eğitim ve araştırma hastanesi","39.97052","32.695098"
"29 Mayıs Devlet Hastanesi","Devlet hastanesi","39.875726","32.834682"
"Ankara Akyurt Devlet Hastanesi","Devlet hastanesi","40.128451","33.088415"
"Ankara Gölbaşı Şehit Ahmet Özsoy Devlet Hastanesi","Devlet hastanesi","39.789959","32.827379"
"Ankara Mesleki ve Çevresel Hastalıklar Hastanesi","Devlet hastanesi","40.007867","32.861151"
"Bala İlçe Entegre Devlet Hastanesi","Devlet hastanesi","39.557226","33.117994"
"Beypazarı Devlet Hastanesi","Devlet hastanesi","40.16277","31.930309"
"Beytepe Murat Erdi Eker Devlet Hastanesi","Devlet hastanesi","39.842247","32.728834"
"Dr. Hulusi Alataş Elmadağ Devlet Hastanesi","Devlet hastanesi","39.917362","33.23204"
"Dr. Nafiz Körez Sincan Devlet Hastanesi","Devlet hastanesi","39.982375","32.586302"
"Etimesgut Şehit Sait Ertürk Devlet Hastanesi","Devlet hastanesi","39.945388","32.668496"
"Gazi Mustafa Kemal Devlet Hastanesi","Devlet hastanesi","39.94458","32.823694"
"Güdül İlçe Entegre Devlet Hastanesi","Devlet hastanesi","40.207513","32.246371"
"Halil Şıvgın Çubuk Devlet Hastanesi","Devlet hastanesi","40.230063","33.033231"
"Haymana Devlet Hastanesi","Devlet hastanesi","39.434594","32.511611"
"Kahramankazan Devlet Hastanesi","Devlet hastanesi","40.202991","32.679811"
"Kalecik İlçe Entegre Devlet Hastanesi","Devlet hastanesi","40.111393","33.40878"
"Kızılcahamam Devlet Hastanesi","Devlet hastanesi","40.476707","32.653723"
"Nallıhan Devlet Hastanesi","Devlet hastanesi","40.193978","31.338157"
"Polatlı Duatepe Devlet Hastanesi","Devlet hastanesi","39.588588","32.167442"
"Şereflikoçhisar Devlet Hastanesi","Devlet hastanesi","38.954919","33.528444"
"75.Yıl Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.935801","32.875822"
"Ankara Yıldırım Beyazıt Üniversitesi Diş Hekimliği Fakültesi Tepebaşı Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.984589","32.865118"
"Balgat Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.903115","32.817534"
"Etimesgut Ağız Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.940313","32.682691"
"Gölbaşı Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.782475","32.806801"
"Karapürçek Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.978059","32.965623"
"Keçiören Osmanlı Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.970373","32.777087"
"Mamak Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.931386","32.909382"
"Pursaklar Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","40.046134","32.909712"
"Sincan Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.96756","32.580587"
"Topraklık Ağız ve Diş Sağlığı Merkezi","Ağız ve diş sağlığı merkezi","39.920237","32.872706"
"Ankara Üniversitesi Tıp Fakültesi Cebeci Araştırma ve Uygulama Hastanesi","Üniversite hastanesi","39.933946","32.882218"
"Ankara Üniversitesi Tıp Fakültesi İbni Sina Araştırma ve Uygulama Hastanesi","Üniversite hastanesi","39.931731","32.858876"
"Başkent Üniversitesi Ankara Hastanesi","Üniversite hastanesi","39.925295","32.831848"
"Gazi Üniversitesi Tıp Fakültesi Gazi Hastanesi","Üniversite hastanesi","39.932762","32.822342"
"Hacettepe Üniversitesi Beytepe Gün Hastanesi","Üniversite hastanesi","39.867905","32.733513"
"Hacettepe Üniversitesi Erişkin Hastanesi","Üniversite hastanesi","39.930395","32.866826"
"Hacettepe Üniversitesi İhsan Doğramacı Çocuk Hastanesi","Üniversite hastanesi","39.930598","32.861188"
"Hacettepe Üniversitesi Onkoloji Hastanesi","Üniversite hastanesi","39.930395","32.866826"
"Ufuk Üniversitesi Dr. Rıdvan Ege Hastanesi","Üniversite hastanesi","39.910214","32.813361"
"A Life Hospital Etimesgut","Özel hastane","39.954113","32.628367"
"A Life Hospital Pursaklar","Özel hastane","40.042868","32.906331"
"Acıbadem Hastanesi","Özel hastane","39.84762","32.838498"
"Akay Hastanesi Kavaklıdere","Özel hastane","39.912596","32.857714"
"Akropol Hastanesi","Özel hastane","39.961583","32.881705"
"Ankara Maya Göz Merkezi","Özel hastane","39.929924","32.847412"
"Ankasu Göz Hastanesi","Özel hastane","39.975456","32.869372"
"Bayındır Hastanesi","Özel hastane","39.910679","32.811215"
"Bilgi Hastanesi","Özel hastane","39.95034","32.716248"
"Boylam Psikiyatri Hastanesi","Özel hastane","40.120426","32.602218"
"Çankaya Doruk Hastanesi","Özel hastane","39.882836","32.871741"
"Çankaya Hastanesi","Özel hastane","39.904645","32.863364"
"Dünya Göz Hastanesi Çankaya","Özel hastane","39.910405","32.85698"
"Dünya Göz Hastanesi Keçiören","Özel hastane","39.979992","32.872662"
"Dünya Göz Hastanesi Sincan","Özel hastane","39.959798","32.585512"
"Dent Ankara Ağız ve Diş Hastanesi","Özel hastane","39.906482","32.860856"
"Era Göz Hastanesi","Özel hastane","39.985959","32.829364"
"Eryaman Hastanesi","Özel hastane","39.971793","32.65233"
"Etimed Hastanesi","Özel hastane","39.953975","32.628329"
"Güven Hastanesi","Özel hastane","39.90451","32.854516"
"HRS Kadın Hastalıkları ve Doğum Hastanesi","Özel hastane","39.899144","32.85726"
"İncek Fizik Tedavi ve Rehabilitasyon Hastanesi","Özel hastane","39.828947","32.729003"
"Keçiören Hastanesi","Özel hastane","40.002259","32.873566"
"Özel Koru Hastanesi Çankaya","Özel hastane","39.902505","32.812034"
"Özel Koru Hastanesi Sincan","Özel hastane","39.965107","32.587509"
"Kudret Göz Hastanesi","Özel hastane","39.907258","32.864848"
"Kudret İnternational Hastanesi","Özel hastane","39.929725","32.845199"
"Liv Hospital","Özel hastane","39.911912","32.856647"
"Lokman Hekim Hastanesi Keçiören","Özel hastane","39.97894","32.836918"
"Lokman Hekim Hastanesi Sincan","Özel hastane","39.956365","32.58356"
"Lösante Hastanesi","Özel hastane","39.833115","32.719361"
"Medical Park Yenimahalle","Özel hastane","39.966447","32.709556"
"Medical Park Keçiören","Özel hastane","39.975386","32.86798"
"Medicana Ankara Hastanesi","Özel hastane","39.910155","32.799679"
"Magnet Hastanesi","Özel hastane","39.933995","32.837086"
"Medisun Hastanesi","Özel hastane","39.890657","32.710252"
"Memorial Hastanesi","Özel hastane","39.903549","32.81521"
"Miadent Ağız ve Diş Hastanesi","Özel hastane","39.894509","32.825256"
"Mim Hastanesi","Özel hastane","39.875876","32.859457"
"Mutludent Ağız ve Diş Hastanesi","Özel hastane","39.929992","32.910375"
"Natomed Hastanesi","Özel hastane","39.919911","32.90801"
"Odak Göz Hastanesi","Özel hastane","39.974432","32.578638"
"Ortadoğu Hastanesi","Özel hastane","39.963979","32.800854"
"Özkaya Tıp Merkezi","Özel hastane","39.919496","32.852207"
"TOBB ETÜ Hastanesi","Özel hastane","39.913136","32.8061"
"Turkuaz Göz Hastalıkları Merkezi","Özel hastane","39.89911","32.868029"
"Umut Hastanesi","Özel hastane","39.906482","32.863516"
"Vegadent Ağız ve Diş Hastanesi","Özel hastane","39.998528","32.701853"
"Yüzüncüyıl Hastanesi","Özel hastane","39.891965","32.810336"
"19 Mayıs Hastanesi","Özel hastane","39.875191","32.840301"
